"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1815","test_delete_entry","tests","2026-05-18","passed","2026-05-18","Test_Webtable","test_webtable","",""
"","2809","test_add_new_entry","tests","2026-05-18","passed","2026-05-18","Test_Webtable","test_webtable","",""
